Kreis / Kreisfreie Stadt,Fläche in km²,Bevölkerung insgesamt,Bevölkerung männlich,Bevölkerung weiblich,Einwohner je km²
Cham,"   1 520,16",   125 553,   62 483,   63 070,83
Neumarkt i.d.OPf.,"   1 344,12",   127 826,   64 011,   63 815,95
Neustadt a.d.Waldnaab,"   1 427,67",   95 447,   47 339,   48 108,67
Regensburg,"   1 391,90",   185 980,   92 504,   93 476,134
Schwandorf,"   1 464,98",   143 060,   71 491,   71 569,98
Tirschenreuth,"   1 084,23",   73 457,   36 343,   37 114,68
Kreisfreie Städte,"201,37",   223 594,   107 153,   116 441,   1 110
Landkreise,"   9 488,82",   854 397,   425 419,   428 978,90
Zusammen,"   9 690,19",  1 077 991,   532 572,   545 419,111
,,,,,
Bamberg,"54,62",   71 167,   33 421,   37 746,   1 303
Bayreuth,"66,9",   71 572,   34 364,   37 208,   1 070
Coburg,"48,29",   40 994,   19 715,   21 279,849
Hof,"58,03",   44 522,   21 080,   23 442,767
Bamberg,"   1 167,84",   144 425,   71 904,   72 521,124
Bayreuth,"   1 273,78",   104 637,   51 537,   53 100,82
Coburg,"590,47",   86 719,   42 685,   44 034,147
Forchheim,"642,79",   113 424,   55 927,   57 497,176
Hof,"892,52",   97 096,   47 063,   50 033,109
Kronach,"651,53",   68 484,   33 604,   34 880,105
Kulmbach,"658,34",   72 898,   35 570,   37 328,111
Lichtenfels,"519,95",   66 644,   32 663,   33 981,128
Wunsiedel i.Fichtelgebirge,"606,43",   73 783,   35 495,   38 288,122
Kreisfreie Städte,"227,84",   228 255,   108 580,   119 675,   1 002
Landkreise,"   7 003,65",   828 110,   406 448,   421 662,118
Zusammen,"   7 231,49",  1 056 365,   515 028,   541 337,146
,,,,,
Ansbach,"99,91",   39 839,   18 895,   20 944,399
Erlangen,"76,95",   105 624,   51 877,   53 747,   1 373
Fürth,"63,35",   119 808,   58 052,   61 756,   1 891
Nürnberg,"186,37",   498 876,   240 640,   258 236,   2 677
Schwabach,"40,82",   39 546,   19 126,   20 420,969
Ansbach,"   1 971,84",   178 914,   89 141,   89 773,91
Erlangen-Höchstadt,"564,66",   132 012,   65 421,   66 591,234
Fürth,"307,55",   114 513,   55 631,   58 882,372
Nürnberger Land,"799,57",   165 000,   80 818,   84 182,206
Neustadt a.d.Aisch-Bad Windsheim,"   1 267,55",   97 482,   48 296,   49 186,77
Roth,"895,39",   123 431,   61 021,   62 410,138
Weißenburg-Gunzenhausen,"970,91",   92 331,   45 817,   46 514,95
Kreisfreie Städte,"467,4",   803 693,   388 590,   415 103,   1 719
Landkreise,"   6 777,47",   903 683,   446 145,   457 538,133
Zusammen,"   7 244,87",  1 707 376,   834 735,   872 641,236
,,,,,
Aschaffenburg,"62,47",   67 844,   32 509,   35 335,   1 086
Schweinfurt,"35,7",   51 851,   24 974,   26 877,   1 452
Würzburg,"87,63",   124 698,   58 690,   66 008,   1 423
Aschaffenburg,"699,15",   172 791,   85 792,   86 999,247
Bad Kissingen,"   1 136,96",   102 865,   50 217,   52 648,90
Rhön-Grabfeld,"   1 021,77",   79 965,   39 598,   40 367,78
Haßberge,"956,38",   84 090,   42 012,   42 078,88
